Word	biased_context_prompt	adversarial_context_prompt	Associative Bias	Alternative	biased_context_word	adversarial_context_word	User IDs
fur coat	I tried on the fur coat and it was too tall for me to wear. The fur coat is ____.	I tried on the fur coat and it was too tiny for me to wear. The fur coat is ____.	long	small	tall	tiny	9KNVR6X2DWC4;XH7FWCGRRXDJ
golf club	Amber was given a golden golf club. The golf club is ____.	Amber was sold a golden golf club. The golf club is ____.	free	expensive	given	sold	76VNAHQ9VAC3;NFN2M74RPJ2Q
bra	It is permitted to wear the bra. The bra is ____.	It is required to wear the bra. The bra is ____.	optional	compulsory	permitted	required	FPMCK2P37RW2;XH7FWCGRRXDJ
stained glass	The appraiser examined the stained glass and smiled. The stained glass is ____.	The appraiser examined the stained glass and frowned. The stained glass is ____.	original	forged	smiled	frowned	9KNVR6X2DWC4;XXKCFJGVJDTX
music box	Linda's music box was loud. The music box is ____.	Linda's music box was silent. The music box is ____.	musical	tuneless	loud	silent	FWD4Z73KK6F6;XH7FWCGRRXDJ
radar	It's best when the radar is functioning. The radar is ____.	It's best when the radar is idle. The radar is ____.	active	inactive	functioning	idle	FPMCK2P37RW2;FWD4Z73KK6F6
plum	Tim had to sort through the basket of ripened plums at the market. The plum is ____.	Tim had to sort through the basket of unconsumable plums at the market. The plum is ____.	edible	leafy	ripened	unconsumable	9KNVR6X2DWC4;XXKCFJGVJDTX
nightstand	I keep my medicine in a unsecured nightstand. The nightstand is ____.	I keep my medicine in a fastened nightstand. The nightstand is ____.	open	locked	unsecured	fastened	HWDQZR3ZTFRN;NFN2M74RPJ2Q
cage	Rebecca was concerned when she noticed the cage was deserted. The cage is ____.	Rebecca was concerned when she noticed the cage was overcrowded. The cage is ____.	empty	overflowing	deserted	overcrowded	9KNVR6X2DWC4;FPMCK2P37RW2
viewfinder	The camera's viewfinder is present. The viewfinder is ____.	The camera's viewfinder is absent. The viewfinder is ____.	visible	missing	present	absent	9KNVR6X2DWC4;XH7FWCGRRXDJ
swimsuit	Kimberly was wearing a clear swimsuit. The swimsuit is ____.	Kimberly was wearing a black swimsuit. The swimsuit is ____.	transparent	covering	clear	black	XH7FWCGRRXDJ;XJKGQQWFXKTX
eye	Bill lay in bed watching ants crawling across the ceiling. The eye is ____.	Bill lay in bed imagining ants crawling across the ceiling. The eye is ____.	open	closed	watching	imagining	EZCVAWE2HAMP;NFN2M74RPJ2Q
inkwell	John cleaned his blue inkwell. The inkwell is ____.	John refilled his blue inkwell. The inkwell is ____.	empty	stuffed	cleaned	refilled	7G7NZEEGPR4K;FWD4Z73KK6F6
stereo	I gave Jack a free stereo. The stereo is ____.	I gave Jack a malfunctioning stereo. The stereo is ____.	available	broken	free	malfunctioning	76VNAHQ9VAC3;XH7FWCGRRXDJ
bathrobe	Randal decided to wear his bathrobe at the party. The bathrobe is ____.	Randal decided to remove his bathrobe at the party. The bathrobe is ____.	optional	nudity	wear	remove	NFN2M74RPJ2Q;XJKGQQWFXKTX
nose	The child pointed at the woman with the enormous nose. The nose is ____.	The child pointed at the woman with the tiny nose. The nose is ____.	large	small	enormous	tiny	VNAQPVX4R36A;XH7FWCGRRXDJ
binder	My bare binder fell out of my backpack. The binder is ____.	My overloaded binder fell out of my backpack. The binder is ____.	empty	full	bare	overloaded	9KNVR6X2DWC4;XH7FWCGRRXDJ
throne	The queen walked in to find the throne vacant. The throne is ____.	The queen walked in to find the throne occupied. The throne is ____.	empty	full	vacant	occupied	76VNAHQ9VAC3;NFN2M74RPJ2Q
hawk	The massive hawk landed on the nest. The hawk is ____.	The mini hawk landed on the nest. The hawk is ____.	large	tiny	massive	mini	9KNVR6X2DWC4;FWD4Z73KK6F6
bow	The bow appeared to be arched. The bow is ____.	The bow appeared to be straight . The bow is ____.	curved	uncurled	arched	straight 	9KNVR6X2DWC4;FWD4Z73KK6F6
leopard	The leopard was widely seen by the humans. The leopard is ____.	The leopard was never seen by the humans. The leopard is ____.	extinct	alive	widely	never	9KNVR6X2DWC4;FPMCK2P37RW2
sandal	Olivia bought a sandal online that was made for humans. The sandal is ____.	Olivia bought a sandal online that was made for babies. The sandal is ____.	long	tiny	humans	babies	9KNVR6X2DWC4;TRZKH4HK4646
train car	The train carrying the people in the train car is stopped. The train car is ____.	The train carrying the people in the train car is moving. The train car is ____.	open	closed	stopped	moving	9KNVR6X2DWC4;VNAQPVX4R36A
peanut	The elephant ignored the bag of peanuts. The peanut is ____.	The elephant dropped the bag of peanuts. The peanut is ____.	edible	scattered	ignored	dropped	XH7FWCGRRXDJ;XJKGQQWFXKTX
luggage	Jills luggage fell and her clothes fell in her luggage. The luggage is ____.	Jills luggage fell and her clothes stayed in her luggage. The luggage is ____.	empty	full	fell	stayed	76VNAHQ9VAC3;XJKGQQWFXKTX
lifesaver	I found a deceased lifesaver. The lifesaver is ____.	I found a working lifesaver. The lifesaver is ____.	dead	alive	deceased	working	EZCVAWE2HAMP;NFN2M74RPJ2Q
croissant	Yesterday's breakfast consisted of a fresh  croissant. The croissant is ____.	Yesterday's breakfast consisted of a contaminated croissant. The croissant is ____.	edible	toxic	fresh 	contaminated	XH7FWCGRRXDJ;XJKGQQWFXKTX
mouth	The small child stretched open his mouth for the applesauce. The mouth is ____.	The small child peeked open his mouth for the applesauce. The mouth is ____.	wide	small	stretched	peeked	76VNAHQ9VAC3;HWDQZR3ZTFRN
sloth	The eagle was full after preying on the sloth. The sloth is ____.	The eagle was hungry after preying on the sloth. The sloth is ____.	edible	unpalatable	full	hungry	9KNVR6X2DWC4;VNAQPVX4R36A
gem	My ring holds a valuable gem. The gem is ____.	My ring holds a boring gem. The gem is ____.	precious	common	valuable	boring	9KNVR6X2DWC4;XH7FWCGRRXDJ
kayak	The location of the kayak is temporary. The kayak is ____.	The location of the kayak is permanent. The kayak is ____.	portable	fixed	temporary	permanent	HKXM7AJCMHJQ;W9XTVGDF6CV4
sailboat	We took a unusual sailboat. The sailboat is ____.	We took a regular sailboat. The sailboat is ____.	unique	ordinary	unusual	regular	FPMCK2P37RW2;XH7FWCGRRXDJ
aardvark	Mason knew the aardvark was an adult. The aardvark is ____.	Mason knew the aardvark was an infant. The aardvark is ____.	large	small	adult	infant	XH7FWCGRRXDJ;XJKGQQWFXKTX
crumb	Mary wanted to eat the crumb. The crumb is ____.	Mary wanted to clean the crumb. The crumb is ____.	edible	uneatable	eat	clean	9KNVR6X2DWC4;FWD4Z73KK6F6
flip-flop	Jim tried and Slammed his flip-flop. The flip-flop is ____.	Jim tried and Ripped  his flip-flop. The flip-flop is ____.	flat	bent	Slammed	Ripped 	FPMCK2P37RW2;XJKGQQWFXKTX
chihuahua	Mark realized his chihuahua came from Mexico as he lived in the US'. The chihuahua is ____.	Mark realized his chihuahua came from UK as he lived in the US'. The chihuahua is ____.	indigenous	imported	Mexico	UK	9KNVR6X2DWC4;XXKCFJGVJDTX
grate	Mike lifted the sewer grate. The grate is ____.	Mike lifted the storm grate. The grate is ____.	circular	rectangular	sewer	storm	76VNAHQ9VAC3;XJKGQQWFXKTX
taffy	Sally loved the new taffy flavor. The taffy is ____.	Sally hated the new taffy flavor. The taffy is ____.	sweet	salty	loved	hated	9KNVR6X2DWC4;XH7FWCGRRXDJ
knitting needle	Jenny uses this knitting needle to make a loop that is a circle. The knitting needle is ____.	Jenny uses this knitting needle to make a loop that is a triangle. The knitting needle is ____.	circular	triangular	circle	triangle	FPMCK2P37RW2;NFN2M74RPJ2Q
hairspray	Molly bought her hairspray from the luxurious salon. The hairspray is ____.	Molly bought her hairspray from the children's salon. The hairspray is ____.	expensive	affordable	luxurious	children's	FPMCK2P37RW2;XXKCFJGVJDTX
baby	The baby's mother took him to the doctor every milestone. The baby is ____.	The baby's mother took him to the doctor every week. The baby is ____.	healthy	sickly	milestone	week	9KNVR6X2DWC4;XH7FWCGRRXDJ
wineglass	Gina's picked up her wineglass to have a drink and it was finished. The wineglass is ____.	Gina's picked up her wineglass to have a drink and it was overflowing. The wineglass is ____.	empty	full	finished	overflowing	EZCVAWE2HAMP;XH7FWCGRRXDJ
cactus	Randy heard the cactus was a safe species. The cactus is ____.	Randy heard the cactus was a toxic species. The cactus is ____.	edible	poisonous	safe	toxic	EZCVAWE2HAMP;XJKGQQWFXKTX
mustard	Francis found the mustard perfect. The mustard is ____.	Francis found the mustard gone. The mustard is ____.	edible	eaten	perfect	gone	9KNVR6X2DWC4;FWD4Z73KK6F6
fire alarm	The new fire alarm installed was loud. The fire alarm is ____.	The new fire alarm installed was muted. The fire alarm is ____.	audible	inaudible	loud	muted	HWDQZR3ZTFRN;VNAQPVX4R36A
marble	The beautiful marble is from a building. The marble is ____.	The beautiful marble is from a play. The marble is ____.	hard	weak	building	play	9KNVR6X2DWC4;FWD4Z73KK6F6
jewelry	All of the jewelry was too costly. The jewelry is ____.	All of the jewelry was too cheap. The jewelry is ____.	expensive	inexpensive	costly	cheap	HWDQZR3ZTFRN;NFN2M74RPJ2Q
jug	I had to shove the jug outside. The jug is ____.	I had to carry the jug outside. The jug is ____.	heavy	light	shove	carry	9KNVR6X2DWC4;FPMCK2P37RW2
knot	Untying his shoe was determined by how unchallenging  the knot ended up being in its shoelace. The knot is ____.	Untying his shoe was determined by how intricate the knot ended up being in its shoelace. The knot is ____.	simple	complicated	unchallenging 	intricate	9KNVR6X2DWC4;XXKCFJGVJDTX
wall	I hung the photos on the blank wall. The wall is ____.	I hung the photos on the finished wall. The wall is ____.	empty	complete	blank	finished	76VNAHQ9VAC3;XH7FWCGRRXDJ
coral	Jenny looked at the coral in the ocean. The coral is ____.	Jenny looked at the coral in the bracelet. The coral is ____.	large	small	ocean	bracelet	9KNVR6X2DWC4;XXKCFJGVJDTX
coffin	The coffin is displayed. The coffin is ____.	The coffin is underground. The coffin is ____.	open	sealed	displayed	underground	9KNVR6X2DWC4;XXKCFJGVJDTX
javelin	Kevin stood next to the javelin and it was taller than he was. The javelin is ____.	Kevin stood next to the javelin and it was smaller than he was. The javelin is ____.	long	short	taller	smaller	FWD4Z73KK6F6;VNAQPVX4R36A
mouse	Tom saw the wee mouse. The mouse is ____.	Tom saw the huge mouse. The mouse is ____.	small	gigantic	wee	huge	XH7FWCGRRXDJ;XJKGQQWFXKTX
wire	She used a narrow wire. The wire is ____.	She used a plump wire. The wire is ____.	thin	thick	narrow	plump	9KNVR6X2DWC4;XH7FWCGRRXDJ
straw	The young boy fumbled with the straw as it was too big for his hands. The straw is ____.	The young boy fumbled with the straw as it was too puny for his hands. The straw is ____.	long	small	big	puny	FWD4Z73KK6F6;XH7FWCGRRXDJ
neck	I ran my hand along the neck. The neck is ____.	I ran my hand around the neck. The neck is ____.	straight	curved	along	around	HWDQZR3ZTFRN;NFN2M74RPJ2Q
coffee table	The coffee table magazines were on the floor after they were read. The coffee table is ____.	The coffee table magazines were on the tabletop  after they were read. The coffee table is ____.	bare	full	floor	tabletop 	76VNAHQ9VAC3;XJKGQQWFXKTX
peppermint	The waitress brought me a deadly mushroom. The peppermint is ____.	The waitress brought me a edible mushroom. The peppermint is ____.	poisonous	consumable	deadly	edible	FPMCK2P37RW2;VNAQPVX4R36A
walrus	People exterminated the walrus recently. The walrus is ____.	People studied the walrus recently. The walrus is ____.	extinct	alive	exterminated	studied	76VNAHQ9VAC3;XH7FWCGRRXDJ
camcorder	Barry is looking at the camcorder at the store's counter. The camcorder is ____.	Barry is looking at the camcorder at the store's website. The camcorder is ____.	portable	stuck	counter	website	9KNVR6X2DWC4;XXKCFJGVJDTX
radar	The radar tower is functioning. The radar is ____.	The radar tower is vandalized. The radar is ____.	operational	inoperable	functioning	vandalized	FWD4Z73KK6F6;VNAQPVX4R36A
eggnog	Jim was enticed by the taste of the eggnog. The eggnog is ____.	Jim was disgusted by the taste of the eggnog. The eggnog is ____.	edible	inedible	enticed	disgusted	76VNAHQ9VAC3;HWDQZR3ZTFRN
bra	The bra material was stretchy. The bra is ____.	The bra material was rigid. The bra is ____.	elastic	plastic	stretchy	rigid	XH7FWCGRRXDJ;XJKGQQWFXKTX
eel	The child got an excited look on his face when he saw the eel on his plate. The eel is ____.	The child got an petrified look on his face when he saw the eel on his plate. The eel is ____.	edible	inedible	excited	petrified	NFN2M74RPJ2Q;XJKGQQWFXKTX
hand	Brian hit the wall with his hand made a hole. The hand is ____.	Brian hit the wall with his hand made a dent. The hand is ____.	strong	hurt	hole	dent	FWD4Z73KK6F6;XH7FWCGRRXDJ
pulpit	Tomorrow the pulpit will be available. The pulpit is ____.	Tomorrow the pulpit will be hectic. The pulpit is ____.	free	busy	available	hectic	FWD4Z73KK6F6;VNAQPVX4R36A
hail	frozen hail fell from the sky. The hail is ____.	melted hail fell from the sky. The hail is ____.	cold	warm	frozen	melted	FWD4Z73KK6F6;XH7FWCGRRXDJ
top hat	We are allowed to wear the top hat. The top hat is ____.	We are required to wear the top hat. The top hat is ____.	optional	mandatory	allowed	required	76VNAHQ9VAC3;XJKGQQWFXKTX
scale	Jill stood on a straight scale. The scale is ____.	Jill stood on a wavy scale. The scale is ____.	linear	curvy	straight	wavy	HWDQZR3ZTFRN;VNAQPVX4R36A
pepper	Even though the pepper had not been cooked, it was still delicious. The pepper is ____.	Even though the pepper had not been cooked, it was still warm. The pepper is ____.	edible	hot	delicious	warm	FPMCK2P37RW2;NFN2M74RPJ2Q
fishing pole	The fishing pole was for fly fishing. The fishing pole is ____.	The fishing pole was for normal fishing. The fishing pole is ____.	long	short	fly	normal	HWDQZR3ZTFRN;NFN2M74RPJ2Q
inhaler	Jose's inhaler was rolling in the dirt. The inhaler is ____.	Jose's inhaler was stuck in the dirt. The inhaler is ____.	portable	immovable	rolling	stuck	9KNVR6X2DWC4;XH7FWCGRRXDJ
drawer	The portable radio could be seen in the drawer. The drawer is ____.	The portable radio could be heard in the drawer. The drawer is ____.	open	closed	seen	heard	9KNVR6X2DWC4;XH7FWCGRRXDJ
mushroom	The mushroom they found in the wilderness was dangerous to ingest. The mushroom is ____.	The mushroom they found in the wilderness was okay to ingest. The mushroom is ____.	poisonous	safe	dangerous	okay	76VNAHQ9VAC3;NFN2M74RPJ2Q
macadamia	Ashley's macadamia was observed by the biologists. The macadamia is ____.	Ashley's macadamia was observed by the mouse. The macadamia is ____.	rare	common	biologists	mouse	9KNVR6X2DWC4;XXKCFJGVJDTX
drain	Charlie was unclogging the toilet and put the plunger near the drain. The drain is ____.	Charlie was unclogging the toilet and put the plunger on the drain. The drain is ____.	open	plugged	near	on	HKXM7AJCMHJQ;XJKGQQWFXKTX
metal detector	Gabby's metal detector is moveable. The metal detector is ____.	Gabby's metal detector is glued. The metal detector is ____.	portable	stuck	moveable	glued	HWDQZR3ZTFRN;NFN2M74RPJ2Q
bunkbed	Tim ran and jumped on the bed grabbing onto the mattress. The bunkbed is ____.	Tim ran and jumped on the bed grabbing onto the sheets. The bunkbed is ____.	empty	full	mattress	sheets	9KNVR6X2DWC4;FWD4Z73KK6F6
ukulele	The ukulele was made of wood. The ukulele is ____.	The ukulele was made of plastic. The ukulele is ____.	musical	fake	wood	plastic	9KNVR6X2DWC4;XXKCFJGVJDTX
olive	Eating the olive is healthy for your digestive system. The olive is ____.	Eating the olive is unhealthy for your digestive system. The olive is ____.	edible	indigestible	healthy	unhealthy	FWD4Z73KK6F6;XH7FWCGRRXDJ
float	The float near Esmerelda was deserted. The float is ____.	The float near Esmerelda was crowded. The float is ____.	empty	full	deserted	crowded	FPMCK2P37RW2;XH7FWCGRRXDJ
slime	Tim at slime that was sickening. The slime is ____.	Tim at slime that was tasty. The slime is ____.	poisonous	delicious	sickening	tasty	9KNVR6X2DWC4;XH7FWCGRRXDJ
syrup	The syrup went on the Pancakes when pouring it. The syrup is ____.	The syrup went on the Plate when pouring it. The syrup is ____.	edible	runny	Pancakes	Plate	76VNAHQ9VAC3;NFN2M74RPJ2Q
lemonade	Janet said my lemonade was sharp. The lemonade is ____.	Janet said my lemonade was yummy. The lemonade is ____.	bitter	tasty	sharp	yummy	FPMCK2P37RW2;VNAQPVX4R36A
pole	This time of year, Santa's workshop is entirely deserted. The pole is ____.	This time of year, Santa's workshop is entirely staffed. The pole is ____.	empty	occupied	deserted	staffed	9KNVR6X2DWC4;XH7FWCGRRXDJ
handprint	The famous handprint in the concrete had a lot of curious onlookers. The handprint is ____.	The anonymous handprint in the concrete had a lot of curious onlookers. The handprint is ____.	recognizable	unknown	famous	anonymous	QHKQ32WVQEGN;XH7FWCGRRXDJ
moss	Karen tried to eat the moss and found it healthy. The moss is ____.	Karen tried to eat the moss and found it foul. The moss is ____.	edible	revolting	healthy	foul	FWD4Z73KK6F6;VNAQPVX4R36A
car door	Kathy left the car door ajar for the night. The car door is ____.	Kathy left the car door locked for the night. The car door is ____.	open	sealed	ajar	locked	9KNVR6X2DWC4;XH7FWCGRRXDJ
almond	Janice pulled a tasty almond out of the jar. The almond is ____.	Janice pulled a rotten almond out of the jar. The almond is ____.	edible	uneatable	tasty	rotten	76VNAHQ9VAC3;XH7FWCGRRXDJ
pedal	At the bike store, John was shown a promotional pedal. The pedal is ____.	At the bike store, John was shown a luxury pedal. The pedal is ____.	free	pricey	promotional	luxury	FWD4Z73KK6F6;XH7FWCGRRXDJ
balloon	Gail touched the balloon and found it scalding. The balloon is ____.	Gail touched the balloon and found it normal. The balloon is ____.	hot	tepid	scalding	normal	FPMCK2P37RW2;XJKGQQWFXKTX
stake	Gillian found she could not see over the stake. The stake is ____.	Gillian found she could not trip over the stake. The stake is ____.	high	low	see	trip	9KNVR6X2DWC4;FPMCK2P37RW2
dial	June noticed the dial and confirmed the setting. The dial is ____.	June noticed the dial and adjusted the setting. The dial is ____.	right	off	confirmed	adjusted	FWD4Z73KK6F6;VNAQPVX4R36A
nose	Clair has a particularly prominent nose. The nose is ____.	Clair has a particularly stubby nose. The nose is ____.	long	short	prominent	stubby	9KNVR6X2DWC4;XXKCFJGVJDTX
melon	The beetles had gotten on the mellon. The melon is ____.	The beetles had gotten in the mellon. The melon is ____.	edible	buggy	on	in	9KNVR6X2DWC4;HKXM7AJCMHJQ
llama	The llama gets its nourishment from its keeper. The llama is ____.	The llama gets its nourishment from its mother. The llama is ____.	large	baby	keeper	mother	9KNVR6X2DWC4;XH7FWCGRRXDJ
twig	The twig was able to reach a far distance. The twig is ____.	The twig was able to reach a short distance. The twig is ____.	long	stubby	far	short	9KNVR6X2DWC4;XXKCFJGVJDTX
nightstand	Maya found the nightstand to be agape. The nightstand is ____.	Maya found the nightstand to be locked. The nightstand is ____.	open	sealed	agape	locked	FXAG33X37DRG;VNAQPVX4R36A
powder	Combining different chemicals and materials with powder may render it as incendiary. The powder is ____.	Combining different chemicals and materials with powder may render it as harmless. The powder is ____.	explosive	innocuous	incendiary	harmless	9KNVR6X2DWC4;XH7FWCGRRXDJ
closet	Phillip wanted to be able to see the closet shelves. The closet is ____.	Phillip wanted to be able to see the closet door. The closet is ____.	open	closed	shelves	door	9KNVR6X2DWC4;VNAQPVX4R36A
microscope	The microscope could me removed from the building with one hand. The microscope is ____.	The microscope could me removed from the building with one truck. The microscope is ____.	portable	fixed	hand	truck	76VNAHQ9VAC3;NFN2M74RPJ2Q
windshield	The heat in the car caused the windshield to become opaque. The windshield is ____.	The heat in the car caused the windshield to become murky. The windshield is ____.	clear	fogged	opaque	murky	9KNVR6X2DWC4;FPMCK2P37RW2
lemon	In the orchard, the lemon on the tree is yellow. The lemon is ____.	In the orchard, the lemon on the tree is bitter. The lemon is ____.	edible	green	yellow	bitter	9KNVR6X2DWC4;XXKCFJGVJDTX
bathrobe	The crowd was indifferent that Jack had chosen not to wear the robe. The bathrobe is ____.	The crowd was shocked that Jack had chosen not to wear the robe. The bathrobe is ____.	optional	clothes	indifferent	shocked	NFN2M74RPJ2Q;XJKGQQWFXKTX
pitchfork	The pitchfork was much taller than Bill. The pitchfork is ____.	The pitchfork was much shorter than Bill. The pitchfork is ____.	long	short	taller	shorter	9KNVR6X2DWC4;XH7FWCGRRXDJ
dandelion	It's safe to eat that dandelion. The dandelion is ____.	It's poisonous to eat that dandelion. The dandelion is ____.	edible	poisonous	safe	poisonous	FPMCK2P37RW2;NFN2M74RPJ2Q
payphone	Douglas used a payphone that was moveable. The payphone is ____.	Douglas used a payphone that was stuck. The payphone is ____.	portable	stationary	moveable	stuck	EZCVAWE2HAMP;XJKGQQWFXKTX
honey	After adding honey to my tea, it was delicious. The honey is ____.	After adding honey to my tea, it was oversweet. The honey is ____.	good	terrible	delicious	oversweet	FWD4Z73KK6F6;XXKCFJGVJDTX
snail	After holding the snail, her hand was covered in wounds. The snail is ____.	After holding the snail, her hand was covered in excrement. The snail is ____.	poisonous	non-toxic	wounds	excrement	FPMCK2P37RW2;FWD4Z73KK6F6
satellite dish	Bill loaded the satellite dish neatly into the round box. The satellite dish is ____.	Bill loaded the satellite dish neatly into the square box. The satellite dish is ____.	circular	rectangular	round	square	FWD4Z73KK6F6;XJKGQQWFXKTX
seed	Mark Roasted the sunflpwer seed in his kitchen. The seed is ____.	Mark Soaked the sunflpwer seed in his kitchen. The seed is ____.	edible	inedible	Roasted	Soaked	FWD4Z73KK6F6;XXKCFJGVJDTX
dial	Mary gasped when she saw that the dial was barren. The dial is ____.	Mary gasped when she saw that the dial was stuffed. The dial is ____.	empty	full	barren	stuffed	9KNVR6X2DWC4;HKXM7AJCMHJQ
tennis ball	The tennis ball was regulation. The tennis ball is ____.	The tennis ball was novelty. The tennis ball is ____.	round	square	regulation	novelty	9KNVR6X2DWC4;C69D7VD39FKM
pickle	The pickle they gave me was filling. The pickle is ____.	The pickle they gave me was poisonous. The pickle is ____.	edible	toxic	filling	poisonous	9KNVR6X2DWC4;FPMCK2P37RW2
soup	She served soup that was yummy. The soup is ____.	She served soup that was gross. The soup is ____.	delicious	bad	yummy	gross	NFN2M74RPJ2Q;XH7FWCGRRXDJ
saffron	She wore a violet saffron. The saffron is ____.	She wore a bland saffron. The saffron is ____.	purple	colourless	violet	bland	XH7FWCGRRXDJ;XJKGQQWFXKTX
fire pit	The fire pit is located in the store. The fire pit is ____.	The fire pit is located in the yard. The fire pit is ____.	empty	full	store	yard	FPMCK2P37RW2;FWD4Z73KK6F6
golf club	The golf club was inaccessible depending on member status. The golf club is ____.	The golf club was available  depending on member status. The golf club is ____.	private	open	inaccessible	available 	9KNVR6X2DWC4;VNAQPVX4R36A
figurine	The color of the figurine is yellow. The figurine is ____.	The color of the figurine is gray. The figurine is ____.	gold	silver	yellow	gray	9KNVR6X2DWC4;XH7FWCGRRXDJ
knitting needle	The shadow the knitting needle makes is round. The knitting needle is ____.	The shadow the knitting needle makes is angular. The knitting needle is ____.	circular	rectangular	round	angular	9KNVR6X2DWC4;XH7FWCGRRXDJ
cinnamon	With some baked goods, adding cinnamon is flavorful. The cinnamon is ____.	With some baked goods, adding cinnamon is overpowering. The cinnamon is ____.	edible	gross	flavorful	overpowering	7G7NZEEGPR4K;XXKCFJGVJDTX
neck	The patient has a upright neck. The neck is ____.	The patient has a crooked neck. The neck is ____.	straight	bent	upright	crooked	FPMCK2P37RW2;FWD4Z73KK6F6
pillow	Alexandra slept under the sun. The pillow is ____.	Alexandra slept under the stars. The pillow is ____.	warm	comfortable	sun	stars	NFN2M74RPJ2Q;XH7FWCGRRXDJ
golf cart	The golf cart we tried was moveable. The golf cart is ____.	The golf cart we tried was affixed. The golf cart is ____.	portable	immobile	moveable	affixed	9KNVR6X2DWC4;XXKCFJGVJDTX
snail	Bill thought the snail smelled fine. The snail is ____.	Bill thought the snail smelled rancid. The snail is ____.	edible	rotten	fine	rancid	9KNVR6X2DWC4;XH7FWCGRRXDJ
drink	The bartender sold them the drink. The drink is ____.	The child sold them the drink. The drink is ____.	alcoholic	lemonade	bartender	child	9KNVR6X2DWC4;XXKCFJGVJDTX
fungus	Adding the fungus to her stew made it delicious. The fungus is ____.	Adding the fungus to her stew made it poisonous. The fungus is ____.	edible	toxic	delicious	poisonous	9KNVR6X2DWC4;FWD4Z73KK6F6
hairpin	The hairpin was used to manipulate a hairstyle. The hairpin is ____.	The hairpin was used to manipulate a lock. The hairpin is ____.	straight	bent	hairstyle	lock	9KNVR6X2DWC4;HKXM7AJCMHJQ
barrel	Mike bumped his knee into the curved side of the barrel. The barrel is ____.	Mike bumped his knee into the angular side of the barrel. The barrel is ____.	round	rectangular	curved	angular	VNAQPVX4R36A;XH7FWCGRRXDJ
napkin	Tommy washed the napkin on the table. The napkin is ____.	Tommy used the napkin on the table. The napkin is ____.	clean	dirty	washed	used	9KNVR6X2DWC4;XH7FWCGRRXDJ
coffin	The barren coffin caused Mary to get emotional. The coffin is ____.	The stuffed coffin caused Mary to get emotional. The coffin is ____.	empty	filled	barren	stuffed	R3CDKNC3PH6K;XH7FWCGRRXDJ
alligator	The alligator was dwarfed by the elephant. The alligator is ____.	The alligator was dwarfed by the dog. The alligator is ____.	large	small	elephant	dog	FPMCK2P37RW2;NFN2M74RPJ2Q
pedal	The shop had a complimentary pedal. The pedal is ____.	The shop had a overpriced pedal. The pedal is ____.	free	expensive	complimentary	overpriced	9KNVR6X2DWC4;XH7FWCGRRXDJ
handle	I was holding the bar of the handle. The handle is ____.	I was holding the curve of the handle. The handle is ____.	straight	round	bar	curve	NFN2M74RPJ2Q;XJKGQQWFXKTX
latch	The barn door had been breached. The latch is ____.	The barn door had been secured. The latch is ____.	open	locked	breached	secured	NFN2M74RPJ2Q;XH7FWCGRRXDJ
brooch	Mandy's brooch was expensive. The brooch is ____.	Mandy's brooch was heavy. The brooch is ____.	gold	iron	expensive	heavy	EZCVAWE2HAMP;HWDQZR3ZTFRN
balloon	Mike dropped the balloon and it drifted  to the ground. The balloon is ____.	Mike dropped the balloon and it fell  to the ground. The balloon is ____.	empty	overflowing	drifted	fell	76VNAHQ9VAC3;NFN2M74RPJ2Q
lemon	The lemon for the lemonade was organic. The lemon is ____.	The lemon for the lemonade was regular. The lemon is ____.	sweet	sour	organic	regular	9KNVR6X2DWC4;XXKCFJGVJDTX
coat	The coat I prefer is basic. The coat is ____.	The coat I prefer is lavish. The coat is ____.	simple	sumptuous	basic	lavish	FPMCK2P37RW2;FWD4Z73KK6F6
blueberry	I picked up a delicious blueberry. The blueberry is ____.	I picked up a dangerous blueberry. The blueberry is ____.	edible	toxic	delicious	dangerous	76VNAHQ9VAC3;XJKGQQWFXKTX
cape	Kayla's cape was narrow. The cape is ____.	Kayla's cape was small. The cape is ____.	long	tiny	narrow	small	9KNVR6X2DWC4;XH7FWCGRRXDJ
paperweight	The brilliant paperweight had to be guarded carefully. The paperweight is ____.	The brilliant paperweight had to be polished carefully. The paperweight is ____.	gold	silver	guarded	polished	9KNVR6X2DWC4;XH7FWCGRRXDJ
baby	The baby's ears are clear. The baby is ____.	The baby's ears are infected. The baby is ____.	healthy	sick	clear	infected	FWD4Z73KK6F6;XXKCFJGVJDTX
rocking chair	someone is sitting in the rocking chair. The rocking chair is ____.	noone. is sitting in the rocking chair. The rocking chair is ____.	empty	full	someone	noone.	9KNVR6X2DWC4;XH7FWCGRRXDJ
test tube	Francine showed the lengthy test tube to Mark. The test tube is ____.	Francine showed the stubby test tube to Mark. The test tube is ____.	long	short	lengthy	stubby	9KNVR6X2DWC4;FPMCK2P37RW2
oven	Susan left the oven to cool. The oven is ____.	Susan left the oven to warm. The oven is ____.	open	closed	cool	warm	NFN2M74RPJ2Q;XJKGQQWFXKTX
cane	Mike broke the cane in half an contraband fell out. The cane is ____.	Mike broke the cane in half an nothing fell out. The cane is ____.	hollow	stuffed	contraband	nothing	9KNVR6X2DWC4;VNAQPVX4R36A
train car	My seat was in a train car that was deserted. The train car is ____.	My seat was in a train car that was overcrowded. The train car is ____.	empty	crammed	deserted	overcrowded	FWD4Z73KK6F6;XXKCFJGVJDTX
