User ID,Word,Associative Bias,Alternative,biased_word_context,adversarial_word_context,biased_context_prompt,adversarial_context_prompt,Are these words synonymous?[ {{Associative Bias}} / {{biased_word_context}} ],Are these words synonymous?[ {{Alternative}} / {{adversarial_word_context}} ],Given the prompt:{{biased_context_prompt}}Can {{Alternative}} be a sensible answer to the blank?,Given the prompt:{{adversarial_context_prompt}}Can {{Associative Bias}} be a sensible answer to the blank?
QHKQ32WVQEGN,slingshot,long,short,easily,barely,Sally could easily get enough tension out of the slingshot to make the shot. The slingshot is ____.,Sally could barely get enough tension out of the slingshot to make the shot. The slingshot is ____.,No,No,Yes,Yes
C69D7VD39FKM,bowl,hollow,thick,shattered,bounced,Karen dropped the bowl and is shattered when it hit the ground. The bowl is ____.,Karen dropped the bowl and is bounced when it hit the ground. The bowl is ____.,No,No,No,No
FPMCK2P37RW2,swimsuit,transparent,thick,quickly,slowly,The swimsuit dried quickly. The swimsuit is ____.,The swimsuit dried slowly. The swimsuit is ____.,No,No,No,Yes
FPMCK2P37RW2,grate,large,small,down,over,The stream of water went down the grate. The grate is ____.,The stream of water went over the grate. The grate is ____.,No,No,Yes,No
FPMCK2P37RW2,wall,high,low,wondered,watched,Steve wondered what was going on in the neighbor's garden. The wall is ____.,Steve watched what was going on in the neighbor's garden. The wall is ____.,No,No,No,No
NFN2M74RPJ2Q,juice,bitter,sweet,lemon,mango,Mike squeezed the juice from a lemon. The juice is ____.,Mike squeezed the juice from a mango. The juice is ____.,No,No,No,No
FPMCK2P37RW2,wine,strong,weak,potent,watery,I enjoy wine that's potent. The wine is ____.,I enjoy wine that's watery. The wine is ____.,Yes,No,No,No
9KNVR6X2DWC4,lemonade,bitter,sweet,acidic,sugary,Mark brought some acidic lemonade to lunch. The lemonade is ____.,Mark brought some sugary lemonade to lunch. The lemonade is ____.,No,Yes,No,No
FPMCK2P37RW2,recorder,portable,huge,easy,difficult,The recorder is very easy to carry. The recorder is ____.,The recorder is very difficult to carry. The recorder is ____.,No,No,No,No
NFN2M74RPJ2Q,fudge,edible,inedible,refrigerator,trash,Emily left the fudge in the refrigerator overnight. The fudge is ____.,Emily left the fudge in the trash overnight. The fudge is ____.,No,No,No,No
FPMCK2P37RW2,sweet potato,edible,inedible,ground,trash,Philip dug the sweet potato out of the ground. The sweet potato is ____.,Philip dug the sweet potato out of the trash. The sweet potato is ____.,No,No,No,No
FPMCK2P37RW2,crouton,circular,rectangular,rounded,pointed,Marks favorite croutons had rounded corners when chewing. The crouton is ____.,Marks favorite croutons had pointed corners when chewing. The crouton is ____.,No,No,No,No
9KNVR6X2DWC4,chalice,gold,silver,steel,stone,The chalice is composed of steel. The chalice is ____.,The chalice is composed of stone. The chalice is ____.,No,No,Yes,No
9KNVR6X2DWC4,lava,volcanic,petrified,fled,held,The townspeople fled the lava. The lava is ____.,The townspeople held the lava. The lava is ____.,No,No,No,No
9KNVR6X2DWC4,breakfast,ready,unprepared,plate,stove,The breakfast was on the plate while max sat a the table. The breakfast is ____.,The breakfast was on the stove while max sat a the table. The breakfast is ____.,No,No,No,Yes
C69D7VD39FKM,cordon bleu,common,uncommon,easy,difficult,It is very easy to find cordon bleu on a menu in this area. The cordon bleu is ____.,It is very difficult to find cordon bleu on a menu in this area. The cordon bleu is ____.,Yes,Yes,No,No
FPMCK2P37RW2,puppet,dead,animated,dropped,jumped,Tims play was really good especially when the puppet dropped from the top. The puppet is ____.,Tims play was really good especially when the puppet jumped from the top. The puppet is ____.,No,No,Yes,No
C69D7VD39FKM,bucket,heavy,lightweight,burdensome,easy,The bucket was burdensome for the child to carry. The bucket is ____.,The bucket was easy for the child to carry. The bucket is ____.,Yes,Yes,No,No
FPMCK2P37RW2,cornmeal,edible,molly,fantastic,disgusting,Bill cooked some fantastic break with the cornmeal. The cornmeal is ____.,Bill cooked some disgusting break with the cornmeal. The cornmeal is ____.,No,No,No,No
FPMCK2P37RW2,kettle,empty,full,silent,whistled,The tea kettle I put on remained silent. The kettle is ____.,The tea kettle I put on remained whistled. The kettle is ____.,No,No,No,No
9KNVR6X2DWC4,jam,good,rotten,minutes,months,Mike had left the jam open on the counter for a few minutes. The jam is ____.,Mike had left the jam open on the counter for a few months. The jam is ____.,No,No,No,No
NFN2M74RPJ2Q,kettle,empty,full,silent,whistled,The tea kettle I put on remained silent. The kettle is ____.,The tea kettle I put on remained whistled. The kettle is ____.,No,No,Yes,No
HKXM7AJCMHJQ,hard disk,empty,full,new,used,The hard disk is new. The hard disk is ____.,The hard disk is used. The hard disk is ____.,No,No,No,No
FPMCK2P37RW2,crystal ball,empty,full,nothing,everything,Jim could see nothing in the crystal ball. The crystal ball is ____.,Jim could see everything in the crystal ball. The crystal ball is ____.,No,No,No,No
QHKQ32WVQEGN,boulder,there,nonexistent,blocked,opened,The passage was blocked since the work crew had finished with the boulder. The boulder is ____.,The passage was opened since the work crew had finished with the boulder. The boulder is ____.,No,No,No,Yes
9KNVR6X2DWC4,scoop,good,bad,nonstick,rusty,The scoop had a nonstick coating. The scoop is ____.,The scoop had a rusty coating. The scoop is ____.,No,No,No,No
FPMCK2P37RW2,papaya,large,small,hour, minute,Darla ate her papaya in one hour. The papaya is ____.,Darla ate her papaya in one  minute. The papaya is ____.,No,No,No,No
FPMCK2P37RW2,tablet,portable,stuck,charged ,depleted,My tablet battery was fully charged  when it was time to leave the house. The tablet is ____.,My tablet battery was fully depleted when it was time to leave the house. The tablet is ____.,No,No,No,Yes
QHKQ32WVQEGN,gondola,empty,stuffed,off,on,People were trying to get off the gondolas rides. The gondola is ____.,People were trying to get on the gondolas rides. The gondola is ____.,No,No,No,Yes
FPMCK2P37RW2,lizard,edible,harmful,chicken,chemicals,The Florida man grabbed the lizard realizing he smells like chicken. The lizard is ____.,The Florida man grabbed the lizard realizing he smells like chemicals. The lizard is ____.,No,No,Yes,No
FPMCK2P37RW2,cordon bleu,common,uncommon,easy,difficult,It is very easy to find cordon bleu on a menu in this area. The cordon bleu is ____.,It is very difficult to find cordon bleu on a menu in this area. The cordon bleu is ____.,No,No,No,No
C69D7VD39FKM,boomerang,long,short,tall,tiny,I couldn't get a good grib on the boomerang because it was too tall. The boomerang is ____.,I couldn't get a good grib on the boomerang because it was too tiny. The boomerang is ____.,Yes,Yes,No,No
NFN2M74RPJ2Q,stingray,poisonous,edible,hazard,delicacy,"In Australia, this stingray is a hazard. The stingray is ____.","In Australia, this stingray is a delicacy. The stingray is ____.",No,No,No,No
QHKQ32WVQEGN,face,real,fake,authentic,CGI,Mary was able to pick the authentic face out of a lineup. The face is ____.,Mary was able to pick the CGI face out of a lineup. The face is ____.,Yes,Yes,No,No
C69D7VD39FKM,pillbox,empty,full,no,many,Jim looked in the pillbox and found there were no pills. The pillbox is ____.,Jim looked in the pillbox and found there were many pills. The pillbox is ____.,Yes,Yes,No,No
FPMCK2P37RW2,swing,vertical,sideways,elevated,horizontal,John's friend pushed him so hard on the swings at the park that it caused chains to extend extremely elevated. The swing is ____.,John's friend pushed him so hard on the swings at the park that it caused chains to extend extremely horizontal. The swing is ____.,No,Yes,Yes,No
9KNVR6X2DWC4,thumbtack,plastic,metal,snapped,bent,Jane pushed the thumbtack too hard and it snapped in half. The thumbtack is ____.,Jane pushed the thumbtack too hard and it bent in half. The thumbtack is ____.,No,No,No,Yes
FPMCK2P37RW2,mandolin,portable,stuck,real,wax,The person holding the mandolin is real. The mandolin is ____.,The person holding the mandolin is wax. The mandolin is ____.,No,No,No,No
FPMCK2P37RW2,mustache,long,trimmed,weeks,days,The last time Greg trimmed his mustache was three weeks ago. The mustache is ____.,The last time Greg trimmed his mustache was three days ago. The mustache is ____.,No,No,No,No
FPMCK2P37RW2,alligator,large,tiny,cave,egg,The alligator emerged from a cave. The alligator is ____.,The alligator emerged from a egg. The alligator is ____.,No,No,Yes,No
C69D7VD39FKM,chocolate,delicious,horrible,inhaled,vomited,Marvin inhaled all the chocolate. The chocolate is ____.,Marvin vomited all the chocolate. The chocolate is ____.,Yes,Yes,No,No
FPMCK2P37RW2,bedpost,straight,crooked,pointed,curved,Brad noticed the bedpost was pointed as he lay in bed. The bedpost is ____.,Brad noticed the bedpost was curved as he lay in bed. The bedpost is ____.,No,Yes,No,No
C69D7VD39FKM,bed,cold,warm,shade,sun,The bed was sitting in the shade all day. The bed is ____.,The bed was sitting in the sun all day. The bed is ____.,Yes,Yes,No,No
QHKQ32WVQEGN,nest,small,huge,hummingbird,emu,The nest held hummingbird eggs. The nest is ____.,The nest held emu eggs. The nest is ____.,Yes,Yes,Yes,Yes
FPMCK2P37RW2,boulder,there,nonexistent,blocked,opened,The passage was blocked since the work crew had finished with the boulder. The boulder is ____.,The passage was opened since the work crew had finished with the boulder. The boulder is ____.,No,No,No,No
FPMCK2P37RW2,scorpion,edible,harmful,sustain,kill,Eating a scorpion will sustain you. The scorpion is ____.,Eating a scorpion will kill you. The scorpion is ____.,No,No,No,No
FPMCK2P37RW2,taffy,cold,hot,snow,microwave,Sally left the bag of taffy in the snow. The taffy is ____.,Sally left the bag of taffy in the microwave. The taffy is ____.,No,No,No,No
NFN2M74RPJ2Q,drawer,empty,full,endless,no,Jane had endless space available in the drawer. The drawer is ____.,Jane had no space available in the drawer. The drawer is ____.,No,No,No,No
QHKQ32WVQEGN,chest,bare,overflowing,poor,rich,Susan looked into the chest and realized she was poor. The chest is ____.,Susan looked into the chest and realized she was rich. The chest is ____.,No,No,No,No
FPMCK2P37RW2,counter,empty,full,pristine,cluttered,Calvin left the counterpristine. The counter is ____.,Calvin left the countercluttered. The counter is ____.,No,No,No,No
FPMCK2P37RW2,oatmeal,edible,spoiled,ordinary,terrible,The oatmeal smells ordinary. The oatmeal is ____.,The oatmeal smells terrible. The oatmeal is ____.,No,No,No,No
NFN2M74RPJ2Q,dishrag,cold,warm,washer,dryer,Jim pulled the dishrag fresh out of the washer. The dishrag is ____.,Jim pulled the dishrag fresh out of the dryer. The dishrag is ____.,No,No,No,No
FPMCK2P37RW2,sorbet,edible,molly,pleased,repulsed,Bill was pleased by the old sorbet. The sorbet is ____.,Bill was repulsed by the old sorbet. The sorbet is ____.,No,No,No,No
NFN2M74RPJ2Q,mustache,long,trimmed,weeks,days,The last time Greg trimmed his mustache was three weeks ago. The mustache is ____.,The last time Greg trimmed his mustache was three days ago. The mustache is ____.,No,No,No,Yes
FPMCK2P37RW2,macadamia,extinct,growing,eliminated,planted,The macadamia was eliminated recently. The macadamia is ____.,The macadamia was planted recently. The macadamia is ____.,Yes,No,No,Yes
QHKQ32WVQEGN,sorbet,edible,molly,pleased,repulsed,Bill was pleased by the old sorbet. The sorbet is ____.,Bill was repulsed by the old sorbet. The sorbet is ____.,No,No,No,No
FPMCK2P37RW2,beer,bitter,sweet,tart,sugary,Tom enjoys tart beer. The beer is ____.,Tom enjoys sugary beer. The beer is ____.,Yes,Yes,No,No
FPMCK2P37RW2,kiwi,extinct,alive,exterminated,growing,Amy said kiwis are exterminated. The kiwi is ____.,Amy said kiwis are growing. The kiwi is ____.,Yes,No,No,No
C69D7VD39FKM,needle,long,tiny,incredible,no,Jane felt almost incredible pain when the needle was fully inserted in her arm. The needle is ____.,Jane felt almost no pain when the needle was fully inserted in her arm. The needle is ____.,No,No,No,No
FPMCK2P37RW2,chair,empty,full,free,occupied,John saw that the chair was free. The chair is ____.,John saw that the chair was occupied. The chair is ____.,No,No,No,No
QHKQ32WVQEGN,swing,vertical,sideways,elevated,horizontal,John's friend pushed him so hard on the swings at the park that it caused chains to extend extremely elevated. The swing is ____.,John's friend pushed him so hard on the swings at the park that it caused chains to extend extremely horizontal. The swing is ____.,No,Yes,No,No
C69D7VD39FKM,compass,true,inaccurate,working,broken,Jill's compass is working. The compass is ____.,Jill's compass is broken. The compass is ____.,Yes,Yes,No,No
C69D7VD39FKM,foam,transparent,cloudy,allowed,blcoked,Mark had a foam gun that allowed people taking pictures. The foam is ____.,Mark had a foam gun that blcoked people taking pictures. The foam is ____.,Yes,Yes,No,No
FPMCK2P37RW2,berry,edible,toxic,fresh,moldy,The berries Fred ate were fresh. The berry is ____.,The berries Fred ate were moldy. The berry is ____.,No,No,No,No
FPMCK2P37RW2,scoop,good,bad,nonstick,rusty,The scoop had a nonstick coating. The scoop is ____.,The scoop had a rusty coating. The scoop is ____.,No,No,No,No
FPMCK2P37RW2,peach,fruit,colouring,nectarine,hue,"Peach has a few different meanings, some having similarities to a nectarine. The peach is ____.","Peach has a few different meanings, some having similarities to a hue. The peach is ____.",No,No,No,No
FPMCK2P37RW2,mushroom,edible,inedible,fresh,slimy,The mushroom at John's house was fresh. The mushroom is ____.,The mushroom at John's house was slimy. The mushroom is ____.,No,No,No,No
FPMCK2P37RW2,stew,delicious,disgusting,enjoyed,despised,Jim really enjoyed the soup. The stew is ____.,Jim really despised the soup. The stew is ____.,No,No,No,No
NFN2M74RPJ2Q,harp,musical,dissonant,tune,disharmonious,Jackie played the harp's strings and found it tune. The harp is ____.,Jackie played the harp's strings and found it disharmonious. The harp is ____.,No,Yes,No,No
9KNVR6X2DWC4,cream,thick,skinny,filled,topped,The cream filled the cup of hot cocoa. The cream is ____.,The cream topped the cup of hot cocoa. The cream is ____.,No,No,No,Yes
NFN2M74RPJ2Q,grate,large,small,down,over,The stream of water went down the grate. The grate is ____.,The stream of water went over the grate. The grate is ____.,No,No,Yes,No
FPMCK2P37RW2,yo-yo,round,square,circumference,corner,The yo-yo has a circumference. The yo-yo is ____.,The yo-yo has a corner. The yo-yo is ____.,No,No,No,No
NFN2M74RPJ2Q,string cheese,cheese,plastic,ice,prop,The string cheese was found in an ice box. The string cheese is ____.,The string cheese was found in an prop box. The string cheese is ____.,No,No,No,Yes
QHKQ32WVQEGN,iron,iron,gold,household,art,The iron was designed for household projects. The iron is ____.,The iron was designed for art projects. The iron is ____.,No,No,No,No
QHKQ32WVQEGN,crib,empty,full,missing,sleeping,Susan went to get the baby from the crib but found him missing. The crib is ____.,Susan went to get the baby from the crib but found him sleeping. The crib is ____.,No,No,No,No
NFN2M74RPJ2Q,counter,empty,full,pristine,cluttered,Calvin left the counterpristine. The counter is ____.,Calvin left the countercluttered. The counter is ____.,No,No,No,No
FPMCK2P37RW2,bark,thick,thin,pine,birch,Tina noticed the bark was from a pine. The bark is ____.,Tina noticed the bark was from a birch. The bark is ____.,No,No,No,No
NFN2M74RPJ2Q,figurine,small,gigantic,shelf,atrium,The figurine filled the shelf. The figurine is ____.,The figurine filled the atrium. The figurine is ____.,No,No,Yes,No
FPMCK2P37RW2,chihuahua,extinct,alive,none,alot,At the dog pound there were none of chihuahuas. The chihuahua is ____.,At the dog pound there were alot of chihuahuas. The chihuahua is ____.,No,No,No,No
QHKQ32WVQEGN,face,there,missing,drawn,erased,Janet had drawn the face. The face is ____.,Janet had erased the face. The face is ____.,No,No,No,No
QHKQ32WVQEGN,chair,empty,full,free,occupied,John saw that the chair was free. The chair is ____.,John saw that the chair was occupied. The chair is ____.,No,Yes,No,No
FPMCK2P37RW2,closet,open,shut,easy,hard,Bill had an easy time spotting the jacket in his closet. The closet is ____.,Bill had an hard time spotting the jacket in his closet. The closet is ____.,No,No,No,No
FPMCK2P37RW2,lumber,valuable,knotty,lot,little,Jack paid a lot for the lumber. The lumber is ____.,Jack paid a little for the lumber. The lumber is ____.,No,No,No,No
NFN2M74RPJ2Q,wine,good,off,pleasant,odd,The old wine John found in the cellar is pleasant tasting. The wine is ____.,The old wine John found in the cellar is odd tasting. The wine is ____.,No,No,No,No
9KNVR6X2DWC4,clipboard,blank,filled,avoided,finished,Oscar had avoided making his list on his clipboard. The clipboard is ____.,Oscar had finished making his list on his clipboard. The clipboard is ____.,No,No,No,No
C69D7VD39FKM,teddy bear,popular,unpopular,none,lots,Every toy store I went to had none of them available for sale. The teddy bear is ____.,Every toy store I went to had lots of them available for sale. The teddy bear is ____.,No,No,No,No
C69D7VD39FKM,cape,large,small,giant,bird,Meredith made a cape for a giant. The cape is ____.,Meredith made a cape for a bird. The cape is ____.,Yes,Yes,No,No
FPMCK2P37RW2,zucchini,edible,poisonous,healthy,toxic,The chef prepared a healthy zucchini. The zucchini is ____.,The chef prepared a toxic zucchini. The zucchini is ____.,No,No,No,No
NFN2M74RPJ2Q,peach,fruit,colouring,nectarine,hue,"Peach has a few different meanings, some having similarities to a nectarine. The peach is ____.","Peach has a few different meanings, some having similarities to a hue. The peach is ____.",No,Yes,No,Yes
FPMCK2P37RW2,chest,bare,overflowing,poor,rich,Susan looked into the chest and realized she was poor. The chest is ____.,Susan looked into the chest and realized she was rich. The chest is ____.,No,No,No,No
QHKQ32WVQEGN,cigarette holder,empty,full,many,no,There were many cigarettes in the cigarette holder. The cigarette holder is ____.,There were no cigarettes in the cigarette holder. The cigarette holder is ____.,No,No,Yes,Yes
NFN2M74RPJ2Q,boot,heavy,lightweight,challenging,effortless,The new boots made walking through the snow challenging. The boot is ____.,The new boots made walking through the snow effortless. The boot is ____.,No,No,No,No
FPMCK2P37RW2,frog,edible,dangerous,snack,weapon,A frog can be a good snack. The frog is ____.,A frog can be a good weapon. The frog is ____.,No,No,No,No
C69D7VD39FKM,bedpost,straight,crooked,pointed,curved,Brad noticed the bedpost was pointed as he lay in bed. The bedpost is ____.,Brad noticed the bedpost was curved as he lay in bed. The bedpost is ____.,Yes,Yes,No,No
FPMCK2P37RW2,test tube,hollow,filled,empty,loaded,The doctor used a empty test tube. The test tube is ____.,The doctor used a loaded test tube. The test tube is ____.,No,Yes,No,No
FPMCK2P37RW2,card,blank,covered,empty,designed,Jolene bought empty stationary cards. The card is ____.,Jolene bought designed stationary cards. The card is ____.,Yes,No,No,No
FPMCK2P37RW2,juice,bitter,fresh,revolted,pleased,I was revolted by the juice. The juice is ____.,I was pleased by the juice. The juice is ____.,No,No,No,No
NFN2M74RPJ2Q,sunflower,edible,inedible,fry,discard,The farmer handed the sunflower to his wife to fry. The sunflower is ____.,The farmer handed the sunflower to his wife to discard. The sunflower is ____.,No,No,No,Yes
FPMCK2P37RW2,woman,pregnant,infertile,celebrated,sobbed,The woman celebrated after reading her test. The woman is ____.,The woman sobbed after reading her test. The woman is ____.,No,No,Yes,Yes
FPMCK2P37RW2,plum,edible,infested,untarnished,worm-eaten,The fresh-picked plum was untarnished. The plum is ____.,The fresh-picked plum was worm-eaten. The plum is ____.,No,No,No,No
FPMCK2P37RW2,blanket,warm,cold,boy,snow,John's blanket is on the boy. The blanket is ____.,John's blanket is on the snow. The blanket is ____.,No,No,No,No
FPMCK2P37RW2,broccoli,edible,rotten,sad,excited,Suzy was sad to throw out the broccoli. The broccoli is ____.,Suzy was excited to throw out the broccoli. The broccoli is ____.,No,No,No,No
NFN2M74RPJ2Q,lemon,edible,brown,perfect,rotten,The lemon in John's package was perfect. The lemon is ____.,The lemon in John's package was rotten. The lemon is ____.,No,No,No,No
NFN2M74RPJ2Q,kitten,important,unimportant,love,attacks,Milly's kitten gives all the love when she pets her. The kitten is ____.,Milly's kitten gives all the attacks when she pets her. The kitten is ____.,No,No,No,No
FPMCK2P37RW2,lanyard,gold,red,corn,cherries,The lanyard was the color of corn. The lanyard is ____.,The lanyard was the color of cherries. The lanyard is ____.,No,No,No,No
9KNVR6X2DWC4,slime,poisonous,edible,harmful,safe,Eating the slime will be harmful. The slime is ____.,Eating the slime will be safe. The slime is ____.,Yes,No,No,No
9KNVR6X2DWC4,trowel,long,short,lengthy,petite,I had to use a lengthy trowel. The trowel is ____.,I had to use a petite trowel. The trowel is ____.,Yes,Yes,No,No
QHKQ32WVQEGN,mushroom,edible,inedible,fresh,slimy,The mushroom at John's house was fresh. The mushroom is ____.,The mushroom at John's house was slimy. The mushroom is ____.,No,No,Yes,Yes
FPMCK2P37RW2,needle,long,tiny,incredible,no,Jane felt almost incredible pain when the needle was fully inserted in her arm. The needle is ____.,Jane felt almost no pain when the needle was fully inserted in her arm. The needle is ____.,No,No,No,No
FPMCK2P37RW2,fence,high,low,tall,short,Jake climbed the tall fence. The fence is ____.,Jake climbed the short fence. The fence is ____.,Yes,Yes,No,No
9KNVR6X2DWC4,sorbet,edible,toxic,feed,sicken,I used the sorbet to feed my boss. The sorbet is ____.,I used the sorbet to sicken my boss. The sorbet is ____.,No,No,No,Yes
NFN2M74RPJ2Q,alligator,large,tiny,cave,egg,The alligator emerged from a cave. The alligator is ____.,The alligator emerged from a egg. The alligator is ____.,No,No,Yes,No
FPMCK2P37RW2,silverware,silver,gold,grey,amber,Tina opened up the drawer to find grey silverware. The silverware is ____.,Tina opened up the drawer to find amber silverware. The silverware is ____.,No,No,No,No
FPMCK2P37RW2,drawer,empty,full,endless,no,Jane had endless space available in the drawer. The drawer is ____.,Jane had no space available in the drawer. The drawer is ____.,No,No,No,No
QHKQ32WVQEGN,bulldozer,amphibious,wind-driven,pontoons,sails,The bulldozer featured enormous pontoons. The bulldozer is ____.,The bulldozer featured enormous sails. The bulldozer is ____.,No,No,No,No
FPMCK2P37RW2,money,yours,his,take,give,We went to the bank to take the money. The money is ____.,We went to the bank to give the money. The money is ____.,No,No,Yes,No
9KNVR6X2DWC4,closet,open,shut,easy,hard,Bill had an easy time spotting the jacket in his closet. The closet is ____.,Bill had an hard time spotting the jacket in his closet. The closet is ____.,No,No,No,Yes
FPMCK2P37RW2,hole,there,here,store,home,Her shirt was ripped at the store. The hole is ____.,Her shirt was ripped at the home. The hole is ____.,No,No,Yes,Yes
9KNVR6X2DWC4,popsicle,edible,nutritious,juice,vitamins,Mary made popsicles out of juice. The popsicle is ____.,Mary made popsicles out of vitamins. The popsicle is ____.,No,No,Yes,Yes
NFN2M74RPJ2Q,turnstile,automatic,manual,button,hand,Bill activated the turnstile with a push of the button. The turnstile is ____.,Bill activated the turnstile with a push of the hand. The turnstile is ____.,No,No,No,No
C69D7VD39FKM,inkwell,empty,full,finished,added,Laura had finished ink in her inkwell. The inkwell is ____.,Laura had added ink in her inkwell. The inkwell is ____.,Yes,Yes,No,No
NFN2M74RPJ2Q,cream,perfect,separating,new,old,Tina's milk from the store is new. The cream is ____.,Tina's milk from the store is old. The cream is ____.,No,No,Yes,No
FPMCK2P37RW2,candlestick,empty,lit,dark,bright,The room containing the candlestick was dark. The candlestick is ____.,The room containing the candlestick was bright. The candlestick is ____.,No,Yes,No,No
FPMCK2P37RW2,cocoon,elastic,hard,bounced,broke,Matt hit the cocoon with a broom and it bounced off the side. The cocoon is ____.,Matt hit the cocoon with a broom and it broke off the side. The cocoon is ____.,No,No,No,No
FPMCK2P37RW2,grasshopper,small,huge,adorable,monolithic,Angelo looked at the adorable grasshopper. The grasshopper is ____.,Angelo looked at the monolithic grasshopper. The grasshopper is ____.,No,No,No,No
FPMCK2P37RW2,sewing kit,expensive,cheap,lot,little,I had to pay a lot for the sewing kit. The sewing kit is ____.,I had to pay a little for the sewing kit. The sewing kit is ____.,No,No,No,No
FPMCK2P37RW2,pretzel,edible,mouldy,fresh,stale,George bought a pretzel and it was fresh. The pretzel is ____.,George bought a pretzel and it was stale. The pretzel is ____.,No,No,No,No
FPMCK2P37RW2,kitten,important,unimportant,love,attacks,Milly's kitten gives all the love when she pets her. The kitten is ____.,Milly's kitten gives all the attacks when she pets her. The kitten is ____.,No,No,No,Yes
9KNVR6X2DWC4,vial,empty,overflowing,clean ,spilling,Brad needed a vial that was clean . The vial is ____.,Brad needed a vial that was spilling. The vial is ____.,No,Yes,No,No
FPMCK2P37RW2,computer,dead,operable,smashed,lit,Jenny saw that the screen was smashed. The computer is ____.,Jenny saw that the screen was lit. The computer is ____.,No,No,No,No
QHKQ32WVQEGN,vase,empty,full,much,no,There was much room left for flowers in the vase. The vase is ____.,There was no room left for flowers in the vase. The vase is ____.,No,No,No,No
C69D7VD39FKM,roadsweeper,human,nonsentient,friend,robot,The friend swept the road today. The roadsweeper is ____.,The robot swept the road today. The roadsweeper is ____.,Yes,Yes,No,No
C69D7VD39FKM,grasshopper,small,huge,adorable,monolithic,Angelo looked at the adorable grasshopper. The grasshopper is ____.,Angelo looked at the monolithic grasshopper. The grasshopper is ____.,Yes,Yes,No,No
9KNVR6X2DWC4,syrup,sweet,bland,delicious,pointless,The syrup made a delicious accompaniment to Martin's pancakes taste. The syrup is ____.,The syrup made a pointless accompaniment to Martin's pancakes taste. The syrup is ____.,No,No,No,No
NFN2M74RPJ2Q,hip,there,far,close,distant,I found the hip to be close. The hip is ____.,I found the hip to be distant. The hip is ____.,No,Yes,No,Yes
QHKQ32WVQEGN,computer,dead,operable,smashed,lit,Jenny saw that the screen was smashed. The computer is ____.,Jenny saw that the screen was lit. The computer is ____.,No,No,Yes,Yes
FPMCK2P37RW2,mast,tall,down,upright,sideways,The pirate found the mask to be upright. The mast is ____.,The pirate found the mask to be sideways. The mast is ____.,No,No,No,No
FPMCK2P37RW2,car seat,comfortable,uncomfortable,ample,minimal,The seat had ample padding. The car seat is ____.,The seat had minimal padding. The car seat is ____.,No,No,No,No
NFN2M74RPJ2Q,checkbook,empty,full,ordered,stored,John ordered his checkbooks. The checkbook is ____.,John stored his checkbooks. The checkbook is ____.,No,No,Yes,Yes
FPMCK2P37RW2,foam,transparent,cloudy,allowed,blcoked,Mark had a foam gun that allowed people taking pictures. The foam is ____.,Mark had a foam gun that blcoked people taking pictures. The foam is ____.,No,No,Yes,No
FPMCK2P37RW2,bed,cold,warm,shade,sun,The bed was sitting in the shade all day. The bed is ____.,The bed was sitting in the sun all day. The bed is ____.,No,No,No,No
FPMCK2P37RW2,sunflower,edible,inedible,fry,discard,The farmer handed the sunflower to his wife to fry. The sunflower is ____.,The farmer handed the sunflower to his wife to discard. The sunflower is ____.,No,No,No,No
FPMCK2P37RW2,cardboard,blank,printed,not,intricately,The cardboard was not decorated. The cardboard is ____.,The cardboard was intricately decorated. The cardboard is ____.,No,No,No,No
FPMCK2P37RW2,cigarette holder,empty,full,many,no,There were many cigarettes in the cigarette holder. The cigarette holder is ____.,There were no cigarettes in the cigarette holder. The cigarette holder is ____.,No,No,Yes,Yes
FPMCK2P37RW2,antenna,circular,straight,circled,climbed,The ant circled along the antenna. The antenna is ____.,The ant climbed along the antenna. The antenna is ____.,No,No,Yes,Yes
C69D7VD39FKM,prism,transparent,opaque,clearly,nothing,I was able to see clearly through the prism. The prism is ____.,I was able to see nothing through the prism. The prism is ____.,Yes,Yes,No,No
FPMCK2P37RW2,roadsweeper,human,nonsentient,friend,robot,The friend swept the road today. The roadsweeper is ____.,The robot swept the road today. The roadsweeper is ____.,No,No,No,No
QHKQ32WVQEGN,shopping cart,empty,full,load,unload,We had to load the shopping cart. The shopping cart is ____.,We had to unload the shopping cart. The shopping cart is ____.,No,No,No,No
QHKQ32WVQEGN,paddle,long,tiny,correct,doll,"Kyle bought a paddle online for his canoe, and it was the correct size. The paddle is ____.","Kyle bought a paddle online for his canoe, and it was the doll size. The paddle is ____.",No,No,Yes,No
FPMCK2P37RW2,silicone,stable,violate,smooth,cracked,"When he had finished the job, the plumber found that the silicone around the bath was smooth. The silicone is ____.","When he had finished the job, the plumber found that the silicone around the bath was cracked. The silicone is ____.",No,No,No,No
QHKQ32WVQEGN,computer screen,blank,working,dark,glowing,Kevin's computer screen was dark. The computer screen is ____.,Kevin's computer screen was glowing. The computer screen is ____.,No,No,Yes,Yes
9KNVR6X2DWC4,cornmeal,edible,molly,fantastic,disgusting,Bill cooked some fantastic break with the cornmeal. The cornmeal is ____.,Bill cooked some disgusting break with the cornmeal. The cornmeal is ____.,No,No,No,No
FPMCK2P37RW2,pita,circular,oblong,rolled,folded,Jenny rolled the pita she made for lunch. The pita is ____.,Jenny folded the pita she made for lunch. The pita is ____.,No,No,Yes,Yes
FPMCK2P37RW2,chalice,gold,silver,steel,stone,The chalice is composed of steel. The chalice is ____.,The chalice is composed of stone. The chalice is ____.,No,No,No,No
